x,y,z
-214136.047,-668784.067,379551.614
-209809.193,-662865.695,380262.121
-205482.265,-656946.412,380964.689
-201155.267,-651026.224,381659.317
-196828.203,-645105.140,382346.004
-192501.078,-639183.166,383024.748
-188173.895,-633260.311,383695.550
-183846.661,-627336.582,384358.407
-179519.378,-621411.987,385013.320
-175192.051,-615486.533,385660.288
-170864.684,-609560.227,386299.309
-166537.282,-603633.077,386930.382
-162209.850,-597705.091,387553.508
-157882.390,-591776.277,388168.685
-153554.909,-585846.641,388775.912
-149227.410,-579916.192,389375.188
-144899.897,-573984.937,389966.513
-140572.375,-568052.884,390549.886
-136244.848,-562120.039,391125.307
-131917.320,-556186.412,391692.773
-127589.797,-550252.008,392252.285
-123262.281,-544316.837,392803.843
-118934.778,-538380.905,393347.444
-114607.293,-532444.220,393883.089
-110279.828,-526506.789,394410.776
-105952.389,-520568.621,394930.506
-101624.979,-514629.723,395442.277
-97297.604,-508690.101,395946.088
-92970.268,-502749.765,396441.940
-88642.974,-496808.721,396929.830
-84315.728,-490866.978,397409.760
-79988.533,-484924.541,397881.727
-75661.394,-478981.421,398345.732
-71334.316,-473037.622,398801.774
-67007.302,-467093.155,399249.852
-62680.357,-461148.025,399689.965
-58353.485,-455202.241,400122.113
-54026.691,-449255.810,400546.296
-49699.979,-443308.740,400962.512
-45373.353,-437361.038,401370.761
-41046.818,-431412.712,401771.043
-36720.378,-425463.769,402163.357
-32394.037,-419514.218,402547.703
-28067.800,-413564.065,402924.080
-23741.671,-407613.319,403292.487
-19415.655,-401661.987,403652.924
-15089.754,-395710.076,404005.391
-10763.975,-389757.594,404349.886
-6438.322,-383804.549,404686.410
-2112.798,-377850.948,405014.962
2212.592,-371896.799,405335.542
6537.844,-365942.109,405648.149
10862.953,-359986.887,405952.782
15187.915,-354031.139,406249.441
19512.726,-348074.874,406538.127
23837.381,-342118.098,406818.838
28161.876,-336160.820,407091.573
32486.206,-330203.047,407356.333
36810.368,-324244.787,407613.118
41134.357,-318286.047,407861.926
45458.168,-312326.835,408102.758
49781.798,-306367.159,408335.612
54105.242,-300407.025,408560.490
58428.495,-294446.443,408777.390
62751.554,-288485.419,408986.311
67074.414,-282523.961,409187.255
71397.070,-276562.076,409380.220
75719.519,-270599.773,409565.206
80041.756,-264637.058,409742.213
84363.776,-258673.940,409911.240
88685.576,-252710.426,410072.288
93007.151,-246746.524,410225.356
97328.496,-240782.241,410370.443
101649.608,-234817.584,410507.550
105970.482,-228852.563,410636.676
110291.113,-222887.183,410757.822
114611.498,-216921.453,410870.986
118931.633,-210955.381,410976.168
123251.511,-204988.973,411073.369
127571.130,-199022.239,411162.589
131890.486,-193055.184,411243.826
136209.573,-187087.817,411317.081
140528.387,-181120.146,411382.355
144846.925,-175152.178,411439.645
149165.181,-169183.920,411488.953
153483.152,-163215.381,411530.278
